audio_id,filename,actual_class,python_pred,python_conf,python_all_conf,second_model_pred,second_model_conf,gtm_pred,gtm_conf,gtm_all_conf,class_match,top_class_conf_diff,python_top_two_margin,gtm_top_two_margin,audio_quality,severity,alert_status,manual_review,final_decision,python_correct,gtm_correct,disagreement_reason
SS00046,SS00046_6f15bb8c.wav,machinery_fault,machinery_fault,99.81,"{""aggression"": 0.01, ""alarm_siren"": 0.04, ""animal_sound"": 0.09, ""background_noise"": 0.02, ""glass_breaking"": 0.0, ""gunshot"": 0.01, ""machinery_fault"": 99.81, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.01, ""vehicle_horn"": 0.01}",machinery_fault,70.5,NOT AVAILABLE,,NOT AVAILABLE,yes,29.31,99.72,,Poor,High,None,yes,machinery_fault,yes,N/A,
SS00048,SS00048_02afa310.wav,machinery_fault,machinery_fault,86.32,"{""aggression"": 0.69, ""alarm_siren"": 0.04, ""animal_sound"": 3.64, ""background_noise"": 8.98, ""glass_breaking"": 0.13, ""gunshot"": 0.04, ""machinery_fault"": 86.32, ""panic_scream"": 0.03, ""person_asking_for_help"": 0.1, ""vehicle_horn"": 0.04}",machinery_fault,41.5,NOT AVAILABLE,,NOT AVAILABLE,yes,44.82,77.34,,Acceptable,High,Active,no,machinery_fault,yes,N/A,
SS00050,SS00050_04f11bf7.wav,machinery_fault,machinery_fault,97.5,"{""aggression"": 0.15, ""alarm_siren"": 0.02, ""animal_sound"": 0.97, ""background_noise"": 0.1, ""glass_breaking"": 0.81, ""gunshot"": 0.01, ""machinery_fault"": 97.5, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.42, ""vehicle_horn"": 0.02}",machinery_fault,52.25,NOT AVAILABLE,,NOT AVAILABLE,yes,45.25,96.53,,Good,High,Active,no,machinery_fault,yes,N/A,
SS00056,SS00056_776ae2c1.wav,animal_sound,animal_sound,85.46,"{""aggression"": 0.47, ""alarm_siren"": 0.16, ""animal_sound"": 85.46, ""background_noise"": 0.37, ""glass_breaking"": 0.17, ""gunshot"": 0.1, ""machinery_fault"": 6.69, ""panic_scream"": 0.11, ""person_asking_for_help"": 6.01, ""vehicle_horn"": 0.46}",animal_sound,60.5,NOT AVAILABLE,,NOT AVAILABLE,yes,24.96,78.77,,Good,Low,None,no,animal_sound,yes,N/A,
SS00064,SS00064_a2b8e982.wav,background_noise,animal_sound,62.78,"{""aggression"": 0.12, ""alarm_siren"": 0.21, ""animal_sound"": 62.78, ""background_noise"": 33.04, ""glass_breaking"": 0.25, ""gunshot"": 0.02, ""machinery_fault"": 0.16, ""panic_scream"": 0.03, ""person_asking_for_help"": 3.35, ""vehicle_horn"": 0.05}",animal_sound,57.5,NOT AVAILABLE,,NOT AVAILABLE,yes,5.28,29.74,,Good,Low,None,no,animal_sound,no,N/A,
SS00087,SS00087_806548ec.wav,background_noise,background_noise,99.06,"{""aggression"": 0.03, ""alarm_siren"": 0.02, ""animal_sound"": 0.08, ""background_noise"": 99.06, ""glass_breaking"": 0.01, ""gunshot"": 0.01, ""machinery_fault"": 0.53, ""panic_scream"": 0.0, ""person_asking_for_help"": 0.07, ""vehicle_horn"": 0.19}",background_noise,79.25,NOT AVAILABLE,,NOT AVAILABLE,yes,19.81,98.53,,Poor,Informational,None,yes,background_noise,yes,N/A,
SS00088,SS00088_23c54679.wav,vehicle_horn,vehicle_horn,98.18,"{""aggression"": 0.01, ""alarm_siren"": 1.44, ""animal_sound"": 0.1, ""background_noise"": 0.0, ""glass_breaking"": 0.02, ""gunshot"": 0.02, ""machinery_fault"": 0.15, ""panic_scream"": 0.07, ""person_asking_for_help"": 0.01, ""vehicle_horn"": 98.18}",machinery_fault,27.25,NOT AVAILABLE,,NOT AVAILABLE,no,70.93,96.74,,Poor,Medium,None,yes,vehicle_horn,yes,N/A,Python=vehicle_horn vs model2=machinery_fault; conf diff 70.93
SS00089,SS00089_f7161457.wav,background_noise,machinery_fault,57.81,"{""aggression"": 0.92, ""alarm_siren"": 6.69, ""animal_sound"": 25.75, ""background_noise"": 0.73, ""glass_breaking"": 0.69, ""gunshot"": 0.08, ""machinery_fault"": 57.81, ""panic_scream"": 0.19, ""person_asking_for_help"": 0.69, ""vehicle_horn"": 6.45}",machinery_fault,45.0,NOT AVAILABLE,,NOT AVAILABLE,yes,12.81,32.06,,Poor,High,None,yes,machinery_fault,no,N/A,
SS00106,SS00106_3641b914.wav,animal_sound,animal_sound,99.94,"{""aggression"": 0.0, ""alarm_siren"": 0.0, ""animal_sound"": 99.94, ""background_noise"": 0.0, ""glass_breaking"": 0.0, ""gunshot"": 0.0, ""machinery_fault"": 0.0, ""panic_scream"": 0.0, ""person_asking_for_help"": 0.01, ""vehicle_horn"": 0.05}",animal_sound,91.75,NOT AVAILABLE,,NOT AVAILABLE,yes,8.19,99.89,,Good,Low,None,no,animal_sound,yes,N/A,
SS00111,SS00111_403db280.wav,animal_sound,animal_sound,95.28,"{""aggression"": 0.04, ""alarm_siren"": 0.02, ""animal_sound"": 95.28, ""background_noise"": 0.06, ""glass_breaking"": 0.04, ""gunshot"": 0.0, ""machinery_fault"": 4.55, ""panic_scream"": 0.0, ""person_asking_for_help"": 0.02, ""vehicle_horn"": 0.0}",animal_sound,60.75,NOT AVAILABLE,,NOT AVAILABLE,yes,34.53,90.73,,Good,Low,None,no,animal_sound,yes,N/A,
SS00116,SS00116_ea7a0ee2.wav,alarm_siren,alarm_siren,96.22,"{""aggression"": 0.07, ""alarm_siren"": 96.22, ""animal_sound"": 1.56, ""background_noise"": 0.02, ""glass_breaking"": 0.14, ""gunshot"": 0.01, ""machinery_fault"": 0.37, ""panic_scream"": 0.01, ""person_asking_for_help"": 1.42, ""vehicle_horn"": 0.17}",alarm_siren,43.0,NOT AVAILABLE,,NOT AVAILABLE,yes,53.22,94.66,,Poor,High,None,yes,alarm_siren,yes,N/A,
SS00117,SS00117_5b6f2f37.wav,animal_sound,animal_sound,91.4,"{""aggression"": 0.04, ""alarm_siren"": 0.16, ""animal_sound"": 91.4, ""background_noise"": 0.06, ""glass_breaking"": 0.02, ""gunshot"": 0.01, ""machinery_fault"": 0.05, ""panic_scream"": 0.16, ""person_asking_for_help"": 5.47, ""vehicle_horn"": 2.64}",animal_sound,69.25,NOT AVAILABLE,,NOT AVAILABLE,yes,22.15,85.93,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00121,SS00121_f8958a10.wav,animal_sound,animal_sound,83.8,"{""aggression"": 0.75, ""alarm_siren"": 0.27, ""animal_sound"": 83.8, ""background_noise"": 0.24, ""glass_breaking"": 0.69, ""gunshot"": 0.12, ""machinery_fault"": 1.73, ""panic_scream"": 0.19, ""person_asking_for_help"": 5.43, ""vehicle_horn"": 6.79}",animal_sound,42.5,NOT AVAILABLE,,NOT AVAILABLE,yes,41.3,77.01,,Good,Low,None,no,animal_sound,yes,N/A,
SS00127,SS00127_53e23b70.wav,animal_sound,animal_sound,93.09,"{""aggression"": 0.18, ""alarm_siren"": 0.1, ""animal_sound"": 93.09, ""background_noise"": 3.13, ""glass_breaking"": 0.26, ""gunshot"": 0.02, ""machinery_fault"": 2.08, ""panic_scream"": 0.06, ""person_asking_for_help"": 0.23, ""vehicle_horn"": 0.85}",animal_sound,49.75,NOT AVAILABLE,,NOT AVAILABLE,yes,43.34,89.96,,Good,Low,None,no,animal_sound,yes,N/A,
SS00138,SS00138_5cc4ea44.wav,animal_sound,animal_sound,97.46,"{""aggression"": 0.07, ""alarm_siren"": 0.45, ""animal_sound"": 97.46, ""background_noise"": 0.01, ""glass_breaking"": 0.01, ""gunshot"": 0.0, ""machinery_fault"": 0.37, ""panic_scream"": 0.03, ""person_asking_for_help"": 1.33, ""vehicle_horn"": 0.26}",animal_sound,43.25,NOT AVAILABLE,,NOT AVAILABLE,yes,54.21,96.13,,Poor,Low,None,yes,animal_sound,yes,N/A,
SS00141,SS00141_cb823cc6.wav,machinery_fault,machinery_fault,92.01,"{""aggression"": 3.61, ""alarm_siren"": 0.09, ""animal_sound"": 1.7, ""background_noise"": 1.55, ""glass_breaking"": 0.21, ""gunshot"": 0.07, ""machinery_fault"": 92.01, ""panic_scream"": 0.07, ""person_asking_for_help"": 0.15, ""vehicle_horn"": 0.55}",aggression,40.75,NOT AVAILABLE,,NOT AVAILABLE,no,51.26,88.4,,Poor,High,None,yes,machinery_fault,yes,N/A,Python=machinery_fault vs model2=aggression; conf diff 51.26
SS00148,SS00148_3609c5ef.wav,background_noise,background_noise,77.87,"{""aggression"": 0.11, ""alarm_siren"": 0.02, ""animal_sound"": 0.15, ""background_noise"": 77.87, ""glass_breaking"": 0.01, ""gunshot"": 0.02, ""machinery_fault"": 19.94, ""panic_scream"": 0.04, ""person_asking_for_help"": 0.46, ""vehicle_horn"": 1.39}",background_noise,55.75,NOT AVAILABLE,,NOT AVAILABLE,yes,22.12,57.93,,Poor,Informational,None,yes,background_noise,yes,N/A,
SS00149,SS00149_ae0ad868.wav,background_noise,background_noise,92.23,"{""aggression"": 0.18, ""alarm_siren"": 0.03, ""animal_sound"": 5.85, ""background_noise"": 92.23, ""glass_breaking"": 0.75, ""gunshot"": 0.03, ""machinery_fault"": 0.6, ""panic_scream"": 0.02, ""person_asking_for_help"": 0.29, ""vehicle_horn"": 0.01}",background_noise,45.5,NOT AVAILABLE,,NOT AVAILABLE,yes,46.73,86.38,,Good,Informational,None,no,background_noise,yes,N/A,
SS00160,SS00160_c4f5bc0c.wav,animal_sound,animal_sound,78.65,"{""aggression"": 0.91, ""alarm_siren"": 9.68, ""animal_sound"": 78.65, ""background_noise"": 0.11, ""glass_breaking"": 0.29, ""gunshot"": 0.06, ""machinery_fault"": 1.0, ""panic_scream"": 0.58, ""person_asking_for_help"": 8.21, ""vehicle_horn"": 0.51}",animal_sound,44.25,NOT AVAILABLE,,NOT AVAILABLE,yes,34.4,68.97,,Good,Low,None,no,animal_sound,yes,N/A,
SS00169,SS00169_b5be86f8.wav,machinery_fault,machinery_fault,96.32,"{""aggression"": 1.17, ""alarm_siren"": 0.41, ""animal_sound"": 1.73, ""background_noise"": 0.25, ""glass_breaking"": 0.02, ""gunshot"": 0.04, ""machinery_fault"": 96.32, ""panic_scream"": 0.03, ""person_asking_for_help"": 0.03, ""vehicle_horn"": 0.0}",machinery_fault,83.25,NOT AVAILABLE,,NOT AVAILABLE,yes,13.07,94.59,,Poor,High,None,yes,machinery_fault,yes,N/A,
SS00177,SS00177_66bea025.wav,animal_sound,animal_sound,50.36,"{""aggression"": 3.5, ""alarm_siren"": 1.12, ""animal_sound"": 50.36, ""background_noise"": 19.66, ""glass_breaking"": 1.24, ""gunshot"": 0.58, ""machinery_fault"": 4.26, ""panic_scream"": 0.64, ""person_asking_for_help"": 16.77, ""vehicle_horn"": 1.87}",machinery_fault,34.5,NOT AVAILABLE,,NOT AVAILABLE,no,15.86,30.7,,Poor,Low,None,yes,animal_sound,yes,N/A,Python=animal_sound vs model2=machinery_fault; conf diff 15.86
SS00178,SS00178_e00a8c06.wav,alarm_siren,alarm_siren,95.75,"{""aggression"": 0.36, ""alarm_siren"": 95.75, ""animal_sound"": 0.36, ""background_noise"": 0.11, ""glass_breaking"": 0.55, ""gunshot"": 0.06, ""machinery_fault"": 0.11, ""panic_scream"": 0.28, ""person_asking_for_help"": 1.91, ""vehicle_horn"": 0.52}",alarm_siren,36.0,NOT AVAILABLE,,NOT AVAILABLE,yes,59.75,93.84,,Good,High,Active,no,alarm_siren,yes,N/A,
SS00183,SS00183_f92e52f9.wav,background_noise,background_noise,97.22,"{""aggression"": 0.65, ""alarm_siren"": 0.01, ""animal_sound"": 0.47, ""background_noise"": 97.22, ""glass_breaking"": 0.13, ""gunshot"": 0.01, ""machinery_fault"": 1.21, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.24, ""vehicle_horn"": 0.04}",background_noise,60.5,NOT AVAILABLE,,NOT AVAILABLE,yes,36.72,96.01,,Acceptable,Informational,None,no,background_noise,yes,N/A,
SS00192,SS00192_d7970b54.wav,animal_sound,person_asking_for_help,51.84,"{""aggression"": 0.44, ""alarm_siren"": 16.85, ""animal_sound"": 29.06, ""background_noise"": 0.66, ""glass_breaking"": 0.24, ""gunshot"": 0.08, ""machinery_fault"": 0.41, ""panic_scream"": 0.26, ""person_asking_for_help"": 51.84, ""vehicle_horn"": 0.16}",animal_sound,44.5,NOT AVAILABLE,,NOT AVAILABLE,no,7.34,22.78,,Good,Critical,None,yes,person_asking_for_help,no,N/A,Python=person_asking_for_help vs model2=animal_sound; conf diff 7.34
SS00194,SS00194_b1af7101.wav,animal_sound,animal_sound,93.48,"{""aggression"": 0.2, ""alarm_siren"": 0.29, ""animal_sound"": 93.48, ""background_noise"": 0.08, ""glass_breaking"": 0.5, ""gunshot"": 0.01, ""machinery_fault"": 4.37, ""panic_scream"": 0.02, ""person_asking_for_help"": 0.69, ""vehicle_horn"": 0.36}",animal_sound,55.5,NOT AVAILABLE,,NOT AVAILABLE,yes,37.98,89.11,,Good,Low,None,no,animal_sound,yes,N/A,
SS00195,SS00195_4b3084ef.wav,alarm_siren,alarm_siren,98.48,"{""aggression"": 0.17, ""alarm_siren"": 98.48, ""animal_sound"": 0.24, ""background_noise"": 0.02, ""glass_breaking"": 0.04, ""gunshot"": 0.03, ""machinery_fault"": 0.03, ""panic_scream"": 0.25, ""person_asking_for_help"": 0.68, ""vehicle_horn"": 0.06}",alarm_siren,74.75,NOT AVAILABLE,,NOT AVAILABLE,yes,23.73,97.8,,Acceptable,High,Active,no,alarm_siren,yes,N/A,
SS00196,SS00196_5e91fb8a.wav,alarm_siren,alarm_siren,96.41,"{""aggression"": 0.51, ""alarm_siren"": 96.41, ""animal_sound"": 0.61, ""background_noise"": 0.35, ""glass_breaking"": 0.27, ""gunshot"": 0.03, ""machinery_fault"": 0.4, ""panic_scream"": 0.03, ""person_asking_for_help"": 1.27, ""vehicle_horn"": 0.13}",alarm_siren,59.0,NOT AVAILABLE,,NOT AVAILABLE,yes,37.41,95.14,,Poor,High,None,yes,alarm_siren,yes,N/A,
SS00227,SS00227_67c88e07.wav,glass_breaking,glass_breaking,98.36,"{""aggression"": 0.08, ""alarm_siren"": 0.06, ""animal_sound"": 0.03, ""background_noise"": 0.85, ""glass_breaking"": 98.36, ""gunshot"": 0.02, ""machinery_fault"": 0.08, ""panic_scream"": 0.02, ""person_asking_for_help"": 0.38, ""vehicle_horn"": 0.12}",glass_breaking,93.0,NOT AVAILABLE,,NOT AVAILABLE,yes,5.36,97.51,,Good,High,Active,no,glass_breaking,yes,N/A,
SS00235,SS00235_2e884017.wav,background_noise,person_asking_for_help,58.1,"{""aggression"": 4.94, ""alarm_siren"": 0.26, ""animal_sound"": 25.22, ""background_noise"": 7.51, ""glass_breaking"": 2.63, ""gunshot"": 0.2, ""machinery_fault"": 0.58, ""panic_scream"": 0.23, ""person_asking_for_help"": 58.1, ""vehicle_horn"": 0.34}",animal_sound,40.5,NOT AVAILABLE,,NOT AVAILABLE,no,17.6,32.88,,Acceptable,Critical,None,yes,person_asking_for_help,no,N/A,Python=person_asking_for_help vs model2=animal_sound; conf diff 17.6
SS00241,SS00241_41c21f5d.wav,background_noise,glass_breaking,59.63,"{""aggression"": 6.33, ""alarm_siren"": 1.1, ""animal_sound"": 3.41, ""background_noise"": 21.06, ""glass_breaking"": 59.63, ""gunshot"": 0.26, ""machinery_fault"": 0.8, ""panic_scream"": 0.28, ""person_asking_for_help"": 4.86, ""vehicle_horn"": 2.26}",glass_breaking,44.0,NOT AVAILABLE,,NOT AVAILABLE,yes,15.63,38.57,,Acceptable,High,None,yes,glass_breaking,no,N/A,
SS00250,SS00250_c68819bc.wav,animal_sound,animal_sound,94.07,"{""aggression"": 1.5, ""alarm_siren"": 0.1, ""animal_sound"": 94.07, ""background_noise"": 0.09, ""glass_breaking"": 0.12, ""gunshot"": 0.02, ""machinery_fault"": 1.23, ""panic_scream"": 0.03, ""person_asking_for_help"": 0.35, ""vehicle_horn"": 2.48}",animal_sound,52.5,NOT AVAILABLE,,NOT AVAILABLE,yes,41.57,91.59,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00253,SS00253_2e3fea12.wav,animal_sound,animal_sound,98.56,"{""aggression"": 0.07, ""alarm_siren"": 0.07, ""animal_sound"": 98.56, ""background_noise"": 0.01, ""glass_breaking"": 0.01, ""gunshot"": 0.0, ""machinery_fault"": 0.14, ""panic_scream"": 0.04, ""person_asking_for_help"": 0.16, ""vehicle_horn"": 0.93}",animal_sound,55.75,NOT AVAILABLE,,NOT AVAILABLE,yes,42.81,97.63,,Good,Low,None,no,animal_sound,yes,N/A,
SS00256,SS00256_3b2f085b.wav,alarm_siren,alarm_siren,94.91,"{""aggression"": 0.68, ""alarm_siren"": 94.91, ""animal_sound"": 0.84, ""background_noise"": 0.06, ""glass_breaking"": 0.09, ""gunshot"": 0.04, ""machinery_fault"": 0.14, ""panic_scream"": 0.32, ""person_asking_for_help"": 2.77, ""vehicle_horn"": 0.16}",animal_sound,28.0,NOT AVAILABLE,,NOT AVAILABLE,no,66.91,92.14,,Good,High,Active,yes,alarm_siren,yes,N/A,Python=alarm_siren vs model2=animal_sound; conf diff 66.91
SS00261,SS00261_b9968152.wav,machinery_fault,machinery_fault,64.63,"{""aggression"": 0.04, ""alarm_siren"": 0.01, ""animal_sound"": 0.51, ""background_noise"": 33.44, ""glass_breaking"": 0.0, ""gunshot"": 0.01, ""machinery_fault"": 64.63, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.63, ""vehicle_horn"": 0.73}",machinery_fault,78.5,NOT AVAILABLE,,NOT AVAILABLE,yes,13.87,31.19,,Poor,High,None,yes,machinery_fault,yes,N/A,
SS00265,SS00265_48d6c73a.wav,machinery_fault,machinery_fault,97.51,"{""aggression"": 0.89, ""alarm_siren"": 0.17, ""animal_sound"": 0.72, ""background_noise"": 0.31, ""glass_breaking"": 0.0, ""gunshot"": 0.02, ""machinery_fault"": 97.51, ""panic_scream"": 0.02, ""person_asking_for_help"": 0.07, ""vehicle_horn"": 0.28}",machinery_fault,83.25,NOT AVAILABLE,,NOT AVAILABLE,yes,14.26,96.62,,Poor,High,None,yes,machinery_fault,yes,N/A,
SS00278,SS00278_0e4abc59.wav,animal_sound,animal_sound,99.37,"{""aggression"": 0.02, ""alarm_siren"": 0.04, ""animal_sound"": 99.37, ""background_noise"": 0.49, ""glass_breaking"": 0.02, ""gunshot"": 0.01, ""machinery_fault"": 0.02, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.01, ""vehicle_horn"": 0.01}",animal_sound,43.0,NOT AVAILABLE,,NOT AVAILABLE,yes,56.37,98.88,,Good,Low,None,no,animal_sound,yes,N/A,
SS00279,SS00279_cc74156e.wav,animal_sound,animal_sound,95.4,"{""aggression"": 1.63, ""alarm_siren"": 0.34, ""animal_sound"": 95.4, ""background_noise"": 0.38, ""glass_breaking"": 0.19, ""gunshot"": 0.04, ""machinery_fault"": 1.2, ""panic_scream"": 0.05, ""person_asking_for_help"": 0.59, ""vehicle_horn"": 0.2}",animal_sound,50.75,NOT AVAILABLE,,NOT AVAILABLE,yes,44.65,93.77,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00280,SS00280_5abd3754.wav,animal_sound,animal_sound,71.36,"{""aggression"": 12.33, ""alarm_siren"": 0.14, ""animal_sound"": 71.36, ""background_noise"": 14.57, ""glass_breaking"": 0.23, ""gunshot"": 0.09, ""machinery_fault"": 0.64, ""panic_scream"": 0.09, ""person_asking_for_help"": 0.32, ""vehicle_horn"": 0.23}",animal_sound,44.0,NOT AVAILABLE,,NOT AVAILABLE,yes,27.36,56.79,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00282,SS00282_873a8b07.wav,animal_sound,animal_sound,68.27,"{""aggression"": 10.28, ""alarm_siren"": 0.55, ""animal_sound"": 68.27, ""background_noise"": 5.27, ""glass_breaking"": 2.89, ""gunshot"": 0.35, ""machinery_fault"": 6.33, ""panic_scream"": 0.38, ""person_asking_for_help"": 3.76, ""vehicle_horn"": 1.92}",animal_sound,43.0,NOT AVAILABLE,,NOT AVAILABLE,yes,25.27,57.99,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00283,SS00283_0cf39cf3.wav,background_noise,background_noise,97.14,"{""aggression"": 0.0, ""alarm_siren"": 0.18, ""animal_sound"": 0.12, ""background_noise"": 97.14, ""glass_breaking"": 0.0, ""gunshot"": 0.01, ""machinery_fault"": 1.39, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.25, ""vehicle_horn"": 0.88}",background_noise,55.75,NOT AVAILABLE,,NOT AVAILABLE,yes,41.39,95.75,,Poor,Informational,None,yes,background_noise,yes,N/A,
SS00292,SS00292_649518e1.wav,animal_sound,animal_sound,80.27,"{""aggression"": 0.21, ""alarm_siren"": 14.8, ""animal_sound"": 80.27, ""background_noise"": 0.62, ""glass_breaking"": 0.11, ""gunshot"": 0.02, ""machinery_fault"": 2.27, ""panic_scream"": 0.04, ""person_asking_for_help"": 0.8, ""vehicle_horn"": 0.87}",animal_sound,47.5,NOT AVAILABLE,,NOT AVAILABLE,yes,32.77,65.47,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00302,SS00302_8b645004.wav,animal_sound,animal_sound,97.44,"{""aggression"": 0.06, ""alarm_siren"": 0.53, ""animal_sound"": 97.44, ""background_noise"": 0.01, ""glass_breaking"": 0.09, ""gunshot"": 0.0, ""machinery_fault"": 1.23, ""panic_scream"": 0.01, ""person_asking_for_help"": 0.07, ""vehicle_horn"": 0.57}",animal_sound,62.25,NOT AVAILABLE,,NOT AVAILABLE,yes,35.19,96.21,,Acceptable,Low,None,no,animal_sound,yes,N/A,
SS00313,SS00313_3007fb5d.wav,animal_sound,animal_sound,41.37,"{""aggression"": 1.57, ""alarm_siren"": 30.08, ""animal_sound"": 41.37, ""background_noise"": 6.62, ""glass_breaking"": 3.67, ""gunshot"": 0.18, ""machinery_fault"": 0.28, ""panic_scream"": 0.39, ""person_asking_for_help"": 14.48, ""vehicle_horn"": 1.35}",animal_sound,30.75,NOT AVAILABLE,,NOT AVAILABLE,yes,10.62,11.29,,Good,Low,None,yes,animal_sound,yes,N/A,
